GO
INSERT INTO Owners (Owner_id, Phone, Email) VALUES
    (328, '590-060-0479', 'nibme@hotmail.com'),
    (329, '236-283-9062', 'ynuuojnmgmx@geocities.org'),
    (330, '460-162-1022', 'wuyuuo@geocities.org'),
    (331, '334-026-5632', 'ujdmyxicdyq@hotmail.com'),
    (332, '680-557-2149', 'dmpwngoieqn@gmail.com'),
    (333, '068-100-6196', 'llqhogg@outlook.com'),
    (334, '430-568-2799', 'sipnusnpdw@outlook.com'),
    (335, NULL, 'ijmxj@geocities.org'),
    (336, '741-668-9822', 'djtdidk@hotmail.com'),
    (337, '646-507-7157', NULL),
    (338, NULL, 'vgdng@geocities.org'),
    (339, '105-899-1796', 'ezehzpnflq@geocities.org'),
    (340, '979-846-8002', 'pudrampn@gmail.com'),
    (341, '297-130-9826', 'unbhrdma@hotmail.com'),
    (342, '369-746-6200', 'ursdbaml@outlook.com'),
    (343, '816-676-6899', 'dociiek@outlook.com'),
    (344, '692-152-8203', 'znhsdmisgqdq@gmail.com'),
    (345, '280-999-0052', 'ojyath@outlook.com'),
    (346, '829-285-7656', NULL),
    (347, '324-063-4892', 'ntoyuwhk@geocities.org'),
    (348, '429-315-2556', 'ymlbvsygyj@gmail.com'),
    (349, '307-387-0928', 'pecuftn@gmail.com'),
    (350, '627-968-8745', 'tkkkrhcq@hotmail.com'),
    (351, '239-397-3951', 'vzqzyibay@hotmail.com'),
    (352, '236-602-3424', 'nvggox@outlook.com'),
    (353, NULL, 'pjjalm@gmail.com'),
    (354, '922-129-3087', NULL),
    (355, '370-801-9447', 'ndvcf@gmail.com'),
    (356, NULL, 'wrxcdr@geocities.org'),
    (357, '692-790-1198', 'mmeuayidy@hotmail.com'),
    (358, '645-305-4630', 'omcsv@gmail.com'),
    (359, '723-641-4016', 'alyiuitjs@gmail.com'),
    (360, '515-011-9478', 'yqttpuwvwfkn@gmail.com'),
    (361, '239-662-4387', 'izswpfunb@hotmail.com'),
    (362, '585-904-0062', 'gnfatd@outlook.com'),
    (363, '715-707-6765', 'xlflgknnohf@gmail.com'),
    (364, '855-967-8433', 'xqhujpv@outlook.com'),
    (365, '314-017-3578', 'azbqfxvvwtvi@outlook.com'),
    (366, '336-362-1791', 'lfhnedwball@gmail.com'),
    (367, '476-612-7990', 'hubovffzh@hotmail.com'),
    (368, NULL, 'srfhvdcvc@hotmail.com'),
    (369, '827-896-6561', 'gqwvcojmfo@gmail.com'),
    (370, '126-762-1301', 'fkfbqu@gmail.com'),
    (371, '548-294-0851', 'mytepxylh@hotmail.com'),
    (372, '741-044-2205', NULL),
    (373, NULL, 'oqxthkvzbkz@gmail.com'),
    (374, '170-607-4702', 'ppembgqcv@hotmail.com'),
    (375, '956-590-1322', 'jcwplfnrf@geocities.org'),
    (376, '545-500-6719', 'ibngbm@hotmail.com'),
    (377, '596-440-2677', 'pzebtvvoawg@outlook.com'),
    (378, '954-497-5271', 'gitvjohizryn@outlook.com'),
    (379, '215-207-8909', 'hrwqbjvybwp@outlook.com'),
    (380, '619-743-3375', 'cskhjgqmyfqr@outlook.com'),
    (381, '356-004-8393', 'wavkmpylu@outlook.com'),
    (382, '133-233-1297', 'ngkzkhlmsumk@hotmail.com'),
    (383, '281-163-2592', 'honsgjqt@outlook.com'),
    (384, '597-409-3496', 'oopkzq@gmail.com'),
    (385, '632-532-8622', 'fofwwxbpigpc@geocities.org'),
    (386, '641-462-6763', 'tdggu@gmail.com'),
    (387, '875-350-6716', 'ftghhthcvq@outlook.com'),
    (388, '814-032-8612', 'axzeljshgwac@hotmail.com'),
    (389, '094-378-1096', 'itwcrmhhcty@geocities.org'),
    (390, '688-811-7529', 'xtiqp@outlook.com'),
    (391, NULL, 'pazinxd@hotmail.com'),
    (392, '381-493-8997', 'qmuvtsdepe@gmail.com'),
    (393, '751-696-0501', 'bnylg@geocities.org'),
    (394, '863-491-2287', NULL),
    (395, '561-857-0700', 'jzaoxczlihjk@gmail.com'),
    (396, '040-799-9136', 'qibnxjnfqpd@gmail.com'),
    (397, '434-157-9147', 'yxgxm@gmail.com'),
    (398, '054-949-3164', 'bfuriddc@hotmail.com'),
    (399, '681-516-9939', 'rurqdql@gmail.com'),
    (400, '850-570-5589', 'hbufgwqv@hotmail.com'),
    (401, '912-763-5377', 'lgsyrix@hotmail.com'),
    (402, '901-246-1922', 'tzgpttunejj@geocities.org'),
    (403, '266-347-2439', 'jusndsqfudp@hotmail.com'),
    (404, '774-968-3748', 'qtifvpi@gmail.com'),
    (405, '721-013-7854', 'hvswwwadd@hotmail.com'),
    (406, '988-748-0516', 'puzhgfcszdo@gmail.com'),
    (407, '352-648-9952', 'pvsmz@gmail.com'),
    (408, '854-955-2761', 'xqzfwbfhs@hotmail.com'),
    (409, '572-480-4424', 'jnfcvv@gmail.com'),
    (410, '404-025-1884', NULL),
    (411, NULL, 'evfvmijm@hotmail.com'),
    (412, '207-192-5456', 'vmgdctn@geocities.org'),
    (413, '523-352-3035', 'mocasfuhnqx@outlook.com'),
    (414, '231-496-0716', 'wqfvqsjsbwq@outlook.com'),
    (415, '883-656-9110', 'xzcocbe@gmail.com'),
    (416, '187-227-4608', 'lruwqc@hotmail.com'),
    (417, '476-689-2180', 'wnujupzezi@geocities.org'),
    (418, '827-123-7808', 'svamddzr@geocities.org'),
    (419, '243-724-5224', 'pynkajjjhs@hotmail.com'),
    (420, '546-390-9131', 'albunvubzov@geocities.org'),
    (421, '901-913-9676', 'rmpyqtjqqdu@outlook.com'),
    (422, '389-893-0125', 'fajcxi@outlook.com'),
    (423, '475-480-2639', 'qvscxrz@geocities.org'),
    (424, '327-196-6171', 'ctjrqu@geocities.org'),
    (425, '319-967-5817', 'wcxbbneiadpf@hotmail.com'),
    (426, '065-560-3175', 'plhlecir@geocities.org'),
    (427, '973-570-2102', 'ayjduxk@hotmail.com'),
    (428, '068-155-2947', NULL),
    (429, '262-444-8800', 'astdvddhyae@outlook.com'),
    (430, '787-335-3524', 'lzyhxschugp@geocities.org'),
    (431, '743-510-0677', 'qfgxa@hotmail.com'),
    (432, '271-572-6413', 'slqvuasz@geocities.org'),
    (433, '138-026-4685', 'fnwwjop@gmail.com'),
    (434, '008-567-0749', 'kqjuxexae@gmail.com'),
    (435, '151-746-0949', 'quckuz@geocities.org'),
    (436, '903-170-2712', NULL),
    (437, '593-975-4061', 'vgqsbdhybfd@geocities.org'),
    (438, '065-083-0116', 'liwozpnczdrh@gmail.com'),
    (439, '026-113-6547', 'zendh@gmail.com'),
    (440, '397-839-3500', 'fpwjddc@hotmail.com'),
    (441, '681-473-0784', 'dqyoglajj@hotmail.com'),
    (442, '890-231-1707', 'hpyyvnna@geocities.org'),
    (443, '822-366-9860', 'xsyclfdanpjb@gmail.com'),
    (444, '762-096-4398', 'yqhbgluaeang@geocities.org'),
    (445, '893-333-0611', 'pvbjp@hotmail.com'),
    (446, '452-741-3136', 'rthpehf@gmail.com'),
    (447, '394-647-1481', 'fgetkn@geocities.org'),
    (448, '656-895-0735', 'hhpzodmjq@hotmail.com'),
    (449, '293-019-3288', 'tdedczqwtqq@outlook.com'),
    (450, '692-872-4901', 'ylmwckl@gmail.com'),
    (451, '925-769-5367', 'jejrrdmth@hotmail.com'),
    (452, '681-795-1117', 'jafjce@gmail.com'),
    (453, '956-521-4849', 'laokcy@outlook.com'),
    (454, '166-724-6962', NULL),
    (455, '374-549-0572', 'rmzilhsmsmcg@gmail.com'),
    (456, '446-484-7542', 'jtzjfdgcj@geocities.org'),
    (457, '796-333-4174', 'luxxpcyv@gmail.com'),
    (458, '782-613-6811', 'wyuxa@outlook.com'),
    (459, NULL, 'zqtytaapjd@outlook.com'),
    (460, '731-866-2298', 'iefveez@hotmail.com'),
    (461, '090-194-2475', 'mrwurqbbnkbm@geocities.org'),
    (462, '038-584-5036', 'jjfuwtyeup@outlook.com'),
    (463, '318-508-8248', NULL),
    (464, '388-413-9592', 'abvxqfw@outlook.com'),
    (465, '042-241-4123', 'cflnie@gmail.com'),
    (466, '784-592-5038', 'wrrmudei@geocities.org'),
    (467, '187-204-8014', 'vylqzq@geocities.org'),
    (468, '694-817-6930', 'rgyvztplgm@geocities.org'),
    (469, '287-992-0835', 'rlmxm@gmail.com'),
    (470, '726-646-6023', 'fimaxjwhwh@gmail.com'),
    (471, '966-874-4748', 'wxubvrcqcza@geocities.org'),
    (472, '492-089-7792', NULL),
    (473, '660-874-3405', 'ytaipp@gmail.com'),
    (474, '062-047-5930', 'rlqesfbiy@gmail.com'),
    (475, '837-742-9424', 'goziflelic@geocities.org'),
    (476, '867-041-5125', 'xmmrwnj@geocities.org'),
    (477, '463-109-8673', 'jghniu@hotmail.com'),
    (478, '716-532-2919', 'xxabtogk@outlook.com'),
    (479, '829-389-0558', 'bhqgqotm@geocities.org'),
    (480, '468-109-7427', 'dvlsikgqjx@gmail.com'),
    (481, NULL, 'fndcwjdwtjnm@geocities.org'),
    (482, NULL, 'dddjbzea@gmail.com'),
    (483, '882-983-1904', 'dkbmcrpbg@geocities.org'),
    (484, '797-683-2544', 'eteatn@outlook.com'),
